"","Aeroporto","week","sum_ObxAb","sum_ObxAbxMassxFlock","sum_ObxAbxS","Voos_como_Destino","Voos_como_Origem","Total_Voos","prod_ObxAb","prod_ObxAbxMassxFlock","prod_ObxAbxS","norm_sum_ObxAb","norm_sum_ObxAbxMassxFlock","norm_sum_ObxAbxS","norm_Total_Voos","rel_product_ObxAb","rel_product_ObxAbxMassxFlock","rel_product_ObxAbxS","real_mul_ObxAb","real_mul_ObxAbxMassxFlock","real_mul_ObxAbxS","real_product_ObxAb","real_product_ObxAbxMassxFlock","real_product_ObxAbxS","rel_product_ObxAb_norm","rel_product_ObxAbxMassxFlock_norm","rel_product_ObxAbxS_norm"
"618","SBCG",47,6.62549020300663,10134.8427968977,263.490320676541,72,70,142,940.819608826941,1439147.67715947,37415.6255360688,0.611578717503621,0.552661416900235,0.545037329094731,0.547511312217195,0.334846266144517,0.302588377578862,0.298414103260011,940.819608826941,1439147.67715947,37415.6255360688,0.670543036950685,0.66788460247092,0.663879447807135,0.627165479728728,0.678826779956743,0.667789112916121
"619","SBCG",48,5.87136942201974,9117.95652914736,238.619019985708,69,68,137,804.377610816704,1249160.04449319,32690.805738042,0.430227362822129,0.387639007507406,0.39337695906035,0.524886877828054,0.225820697227905,0.203466628374928,0.206478403850681,804.377610816704,1249160.04449319,32690.805738042,0.557697961174948,0.564679199689321,0.565863978649696,0.422961102539187,0.456457043306002,0.462056010883787
"620","SBCG",49,5.16029464811944,7960.97347932764,207.866129246471,75,75,150,774.044197217916,1194146.02189915,31179.9193869707,0.259227734144747,0.199881402194952,0.205851793122463,0.583710407239819,0.151313926265486,0.116672854674882,0.12015783399456,774.044197217916,1194146.02189915,31179.9193869707,0.532610551095867,0.534794389395236,0.534520934708492,0.283410271372037,0.261743887458696,0.268888408746672
"621","SBCG",50,4.74230156313418,7152.17704619375,185.233936932074,73,74,147,697.118329780725,1051370.02579048,27229.3887290148,0.158708541303552,0.0686282420953853,0.0678450718915179,0.570135746606335,0.0904854126889031,0.0391274140453328,0.038680900716431,697.118329780725,1051370.02579048,27229.3887290148,0.468988605751642,0.457235371583683,0.452567943396083,0.169478751878915,0.0877784424403582,0.0865598646110754
"622","SBCG",51,4.55581966389462,6729.28225739865,174.107792488257,81,78,159,724.375326559244,1069955.87892638,27683.1390056329,0.113863277914291,0,0,0.624434389140271,0.071100146389919,0,0,724.375326559244,1069955.87892638,27683.1390056329,0.491531649035574,0.467331610123062,0.461980904766931,0.133170239384336,0,0
"623","SBCG",52,5.14918301670554,7624.0153662332,198.469230375068,73,71,144,741.482354405598,1097858.21273758,28579.5691740098,0.256555603286617,0.145199141797901,0.148551325498028,0.556561085972851,0.142788865177619,0.080812192041366,0.0826778870418888,741.482354405598,1097858.21273758,28579.5691740098,0.505680106854805,0.482488763034111,0.480577174524569,0.267442872098183,0.181294075283474,0.185016030550593
"624","SBCH",1,3.18217676007645,7761.91254731972,208.666401775019,32,30,62,197.29495912474,481238.577933823,12937.3169100512,0.279983757684228,0.194855005395751,0.181421349541978,0.535714285714286,0.149991298759408,0.104386610033438,0.0971900086832026,197.29495912474,481238.577933823,12937.3169100512,0.436180299770535,0.493789623020923,0.49951710654396,0.25814579085134,0.16453757330703,0.149758433152588
"625","SBCH",2,3.00617329475838,7361.95208133933,200.573988191422,36,36,72,216.444477222604,530060.549856432,14441.3271497824,0.210584386550148,0.119932630276045,0.124532924332339,0.625,0.131615241593842,0.0749578939225279,0.0778330777077116,216.444477222604,530060.549856432,14441.3271497824,0.480025562429666,0.545536135322529,0.559461330508919,0.226519277520434,0.118151072846103,0.11993166708056
"626","SBCH",3,2.81760923001665,7180.74663331589,194.999677396769,35,35,70,197.232646101166,502652.264332113,13649.9774177739,0.136232285084909,0.0859884190218964,0.0853463751698409,0.607142857142857,0.0827124588015522,0.0522072544061514,0.0518174420674034,197.232646101166,502652.264332113,13649.9774177739,0.43603762616007,0.516486034964061,0.527921089414145,0.142354078317802,0.0822907741352962,0.0798446161197898
"627","SBCH",4,2.47211108109514,6721.71195794734,182.859102874095,35,35,70,173.04777567666,470519.837056314,12800.1372011867,0,0,0,0.607142857142857,0,0,0,173.04777567666,470519.837056314,12800.1372011867,0.380663282496675,0.482428806674649,0.494049636327073,0,0,0
